epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,41627.6,0.22086,0.12244,0.76333,0.875,0.77778,0.83764,0.45054,1.2614,0.74264,1.96861,6.139e-05,6.139e-05,6.139e-05
80,42137.2,0.21981,0.12755,0.771,0.85714,0.77778,0.84219,0.45313,1.2091,0.79158,1.84193,6.0895e-05,6.0895e-05,6.0895e-05
81,42629.8,0.22745,0.12539,0.75112,0.86,0.7963,0.82099,0.46744,1.17692,0.82312,1.82036,6.04e-05,6.04e-05,6.04e-05
82,43100.2,0.21407,0.12289,0.75834,0.89362,0.77778,0.82513,0.43678,1.20972,0.9438,1.83877,5.9905e-05,5.9905e-05,5.9905e-05
83,43570.6,0.20732,0.11913,0.73038,0.86957,0.74074,0.80075,0.43855,1.18725,0.89513,1.85716,5.941e-05,5.941e-05,5.941e-05
84,44150.5,0.22327,0.12767,0.7873,0.89796,0.81481,0.85962,0.45698,1.22622,0.79875,1.90956,5.8915e-05,5.8915e-05,5.8915e-05
85,44600.6,0.21913,0.12179,0.78541,0.87234,0.75926,0.83125,0.44436,1.25279,1.06437,1.91758,5.842e-05,5.842e-05,5.842e-05
86,45102.1,0.20698,0.11703,0.76221,0.84783,0.72222,0.81351,0.45068,1.2329,1.02974,1.89922,5.7925e-05,5.7925e-05,5.7925e-05
87,45619.2,0.20169,0.11958,0.7685,0.86,0.7963,0.84624,0.4465,1.24386,0.87003,1.95061,5.743e-05,5.743e-05,5.743e-05
88,46129.5,0.20279,0.11611,0.75285,0.8913,0.75926,0.82999,0.45027,1.20873,0.84544,1.93079,5.6935e-05,5.6935e-05,5.6935e-05
89,46598.4,0.20507,0.11688,0.7556,0.89796,0.81481,0.85781,0.46591,1.19449,0.89137,1.86725,5.644e-05,5.644e-05,5.644e-05
90,47177.6,0.20252,0.11741,0.73996,0.89583,0.7963,0.848,0.45745,1.20534,0.94919,1.91747,5.5945e-05,5.5945e-05,5.5945e-05
91,47724,0.20381,0.11664,0.76297,0.89583,0.7963,0.84106,0.45882,1.2117,0.86327,1.92454,5.545e-05,5.545e-05,5.545e-05
92,48265,0.19813,0.11558,0.75857,0.91489,0.7963,0.8473,0.45323,1.20427,0.93027,1.91493,5.4955e-05,5.4955e-05,5.4955e-05
93,48794.2,0.20554,0.12875,0.75884,0.91667,0.81481,0.86478,0.45707,1.21742,0.92294,1.9456,5.446e-05,5.446e-05,5.446e-05
94,49442.8,0.21104,0.12044,0.77218,0.9,0.83333,0.8722,0.47238,1.20761,0.87789,1.90808,5.3965e-05,5.3965e-05,5.3965e-05
95,49909,0.20868,0.11966,0.77172,0.91489,0.7963,0.8581,0.47037,1.18886,0.8726,1.89898,5.347e-05,5.347e-05,5.347e-05
96,50404.9,0.21507,0.12197,0.77806,0.83019,0.81481,0.85297,0.44584,1.22529,0.93252,1.95926,5.2975e-05,5.2975e-05,5.2975e-05
97,50852.9,0.19644,0.11414,0.74159,0.83019,0.81481,0.84771,0.44862,1.20879,0.89435,1.89961,5.248e-05,5.248e-05,5.248e-05
98,51384.7,0.20049,0.11308,0.74503,0.82,0.75926,0.82013,0.43936,1.21536,1.06808,1.91873,5.1985e-05,5.1985e-05,5.1985e-05
99,51857.9,0.19699,0.11751,0.74369,0.84314,0.7963,0.8413,0.44829,1.19083,0.93084,1.92076,5.149e-05,5.149e-05,5.149e-05
100,52339.8,0.19664,0.1194,0.74365,0.78,0.72222,0.78158,0.42977,1.20938,1.11389,1.95856,5.0995e-05,5.0995e-05,5.0995e-05
101,52774.6,0.1978,0.11488,0.75485,0.8,0.74074,0.7917,0.43515,1.19072,0.98603,1.89054,5.05e-05,5.05e-05,5.05e-05
102,53346.1,0.19137,0.11303,0.75945,0.82,0.75926,0.82051,0.44879,1.183,0.91217,1.90877,5.0005e-05,5.0005e-05,5.0005e-05
103,53803.6,0.19873,0.11497,0.77593,0.83673,0.75926,0.82399,0.4467,1.17922,0.92486,1.88091,4.951e-05,4.951e-05,4.951e-05
104,54284.1,0.18753,0.11137,0.75651,0.875,0.77778,0.83005,0.44629,1.20511,0.92274,1.89365,4.9015e-05,4.9015e-05,4.9015e-05
105,54811.3,0.19239,0.11465,0.75139,0.88889,0.74074,0.81771,0.43972,1.2117,0.92038,1.91659,4.852e-05,4.852e-05,4.852e-05
106,55346.3,0.18709,0.1104,0.74693,0.85106,0.74074,0.80411,0.42992,1.2076,1.04818,1.91395,4.8025e-05,4.8025e-05,4.8025e-05
107,55776,0.18584,0.10875,0.74629,0.85714,0.77778,0.8164,0.43669,1.23525,1.06396,1.97224,4.753e-05,4.753e-05,4.753e-05
108,56320,0.18024,0.10964,0.74938,0.88,0.81481,0.84187,0.45274,1.225,1.01254,2.02977,4.7035e-05,4.7035e-05,4.7035e-05
109,56823.9,0.19069,0.11264,0.75533,0.87755,0.7963,0.83496,0.45003,1.23645,0.97458,2.04723,4.654e-05,4.654e-05,4.654e-05
110,57407.9,0.1873,0.10852,0.73562,0.82692,0.7963,0.81568,0.43564,1.26851,0.99613,2.06659,4.6045e-05,4.6045e-05,4.6045e-05
111,57862.8,0.17697,0.10697,0.73556,0.82692,0.7963,0.81588,0.4328,1.23803,0.99286,2.01038,4.555e-05,4.555e-05,4.555e-05
112,58452.8,0.18062,0.10499,0.76051,0.875,0.77778,0.81544,0.42784,1.22039,1.00357,1.98504,4.5055e-05,4.5055e-05,4.5055e-05
113,58916,0.17854,0.10867,0.7623,0.88,0.81481,0.83806,0.44813,1.21673,1.00233,1.95393,4.456e-05,4.456e-05,4.456e-05
114,59433,0.17221,0.10372,0.7515,0.88,0.81481,0.83464,0.448,1.2048,0.98369,1.94025,4.4065e-05,4.4065e-05,4.4065e-05
115,59905.8,0.1817,0.10717,0.73997,0.88235,0.83333,0.84229,0.44565,1.21504,1.03127,1.95876,4.357e-05,4.357e-05,4.357e-05
116,60406,0.17089,0.10339,0.74386,0.84906,0.83333,0.83909,0.43835,1.22565,0.98899,1.98912,4.3075e-05,4.3075e-05,4.3075e-05
117,60855.4,0.17937,0.11032,0.74153,0.86275,0.81481,0.82144,0.43708,1.20974,1.00844,1.9593,4.258e-05,4.258e-05,4.258e-05
118,61365.6,0.17321,0.10493,0.75592,0.88235,0.83333,0.8464,0.43797,1.20799,1.0608,1.96755,4.2085e-05,4.2085e-05,4.2085e-05
119,61856.8,0.16452,0.10039,0.74271,0.88235,0.83333,0.83842,0.43712,1.22395,1.04449,1.99229,4.159e-05,4.159e-05,4.159e-05
120,62754.9,0.17989,0.10975,0.75008,0.88235,0.83333,0.85019,0.45742,1.21306,1.06167,1.99598,4.1095e-05,4.1095e-05,4.1095e-05
121,63308.2,0.16634,0.09961,0.74703,0.9,0.83333,0.85153,0.46024,1.19273,1.01699,1.96192,4.06e-05,4.06e-05,4.06e-05
122,63783.4,0.17163,0.10549,0.75997,0.89583,0.7963,0.83783,0.45165,1.19637,1.0117,1.94563,4.0105e-05,4.0105e-05,4.0105e-05
123,64268.7,0.15938,0.09787,0.73303,0.87234,0.75926,0.81505,0.44457,1.17586,1.03558,1.9313,3.961e-05,3.961e-05,3.961e-05
124,64703.3,0.16847,0.10321,0.75582,0.86667,0.72222,0.80037,0.45461,1.16902,1.02326,1.93617,3.9115e-05,3.9115e-05,3.9115e-05
125,65143.3,0.16778,0.1033,0.74933,0.88095,0.68519,0.78148,0.43552,1.20157,1.03804,1.99171,3.862e-05,3.862e-05,3.862e-05
126,65703.5,0.16706,0.10308,0.73173,0.88372,0.7037,0.79026,0.42446,1.22558,1.02008,2.02532,3.8125e-05,3.8125e-05,3.8125e-05
127,66155.9,0.16709,0.10238,0.76092,0.85714,0.66667,0.76552,0.41784,1.2186,1.04389,2.01265,3.763e-05,3.763e-05,3.763e-05
128,66643.9,0.16368,0.10345,0.75494,0.88372,0.7037,0.79257,0.43661,1.2015,0.98679,2.00118,3.7135e-05,3.7135e-05,3.7135e-05
129,67070.2,0.15974,0.09964,0.73461,0.88636,0.72222,0.80184,0.4578,1.19078,0.94469,1.99056,3.664e-05,3.664e-05,3.664e-05
130,67563.4,0.16314,0.09884,0.73205,0.8913,0.75926,0.81877,0.46294,1.19978,0.94808,2.0163,3.6145e-05,3.6145e-05,3.6145e-05
131,68039.6,0.15568,0.09821,0.71367,0.89362,0.77778,0.83531,0.46062,1.20461,0.92421,2.01911,3.565e-05,3.565e-05,3.565e-05
