epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,43581.4,0.53077,0.27464,0.99396,0.92251,0.91193,0.95043,0.597,1.4009,0.64919,2.02649,8.3764e-05,8.3764e-05,8.3764e-05
84,44116.5,0.522,0.26584,0.98886,0.90633,0.90452,0.95003,0.60132,1.40126,0.63212,2.02672,8.3566e-05,8.3566e-05,8.3566e-05
85,44664.4,0.52062,0.26625,0.98997,0.93685,0.87894,0.94699,0.59373,1.41619,0.65815,2.04745,8.3368e-05,8.3368e-05,8.3368e-05
86,45188,0.52429,0.26757,0.98934,0.91806,0.88578,0.94722,0.59923,1.39582,0.64091,2.00839,8.317e-05,8.317e-05,8.317e-05
87,45711.2,0.51564,0.26249,0.98389,0.93509,0.86031,0.94386,0.59689,1.40853,0.62914,2.03539,8.2972e-05,8.2972e-05,8.2972e-05
88,46233.9,0.52392,0.26598,0.9918,0.93869,0.89911,0.95554,0.5987,1.41697,0.61996,2.04096,8.2774e-05,8.2774e-05,8.2774e-05
89,46756.8,0.5084,0.26468,0.97601,0.92018,0.91497,0.95329,0.59891,1.4225,0.62722,2.06519,8.2576e-05,8.2576e-05,8.2576e-05
90,47279.9,0.50794,0.26347,0.97748,0.91962,0.90218,0.95509,0.59697,1.4193,0.63127,2.04982,8.2378e-05,8.2378e-05,8.2378e-05
91,47802.8,0.50982,0.2613,0.98036,0.91347,0.90417,0.94855,0.60506,1.41117,0.64305,2.03998,8.218e-05,8.218e-05,8.218e-05
92,48326.4,0.51352,0.2674,0.98263,0.92457,0.9111,0.95069,0.59434,1.41628,0.62783,2.0425,8.1982e-05,8.1982e-05,8.1982e-05
93,48849,0.49694,0.25579,0.97693,0.93977,0.88967,0.94828,0.59506,1.42205,0.63136,2.06127,8.1784e-05,8.1784e-05,8.1784e-05
94,49372.5,0.50101,0.25963,0.97202,0.92629,0.91266,0.95514,0.60069,1.41858,0.64678,2.04088,8.1586e-05,8.1586e-05,8.1586e-05
95,49895.1,0.49479,0.25444,0.96887,0.93528,0.89624,0.94601,0.59836,1.41984,0.63665,2.03952,8.1388e-05,8.1388e-05,8.1388e-05
96,50418.2,0.49905,0.25849,0.97134,0.92033,0.91304,0.95481,0.60317,1.40551,0.61989,2.02897,8.119e-05,8.119e-05,8.119e-05
97,50941.4,0.4937,0.25784,0.96975,0.92614,0.91493,0.95698,0.60865,1.40194,0.60547,2.02133,8.0992e-05,8.0992e-05,8.0992e-05
98,51464.4,0.48824,0.25729,0.9689,0.92169,0.92598,0.9484,0.60671,1.39737,0.61526,2.02347,8.0794e-05,8.0794e-05,8.0794e-05
99,51987.5,0.49318,0.25802,0.97197,0.9112,0.93097,0.95698,0.60933,1.39184,0.61592,2.02526,8.0596e-05,8.0596e-05,8.0596e-05
100,52510.7,0.487,0.25412,0.96423,0.91404,0.91897,0.95572,0.60989,1.39133,0.59003,2.02745,8.0398e-05,8.0398e-05,8.0398e-05
101,53034.1,0.49388,0.25832,0.96785,0.92665,0.92934,0.95633,0.61255,1.39703,0.58204,2.0442,8.02e-05,8.02e-05,8.02e-05
102,53561.7,0.47266,0.24721,0.9578,0.92806,0.91749,0.9542,0.61036,1.40339,0.61359,2.07837,8.0002e-05,8.0002e-05,8.0002e-05
103,54084.9,0.47832,0.25049,0.96207,0.92522,0.91751,0.9574,0.60325,1.40953,0.62439,2.07645,7.9804e-05,7.9804e-05,7.9804e-05
104,54608.4,0.47343,0.24664,0.95877,0.94363,0.90165,0.9527,0.60429,1.41137,0.60334,2.08313,7.9606e-05,7.9606e-05,7.9606e-05
105,55131.5,0.47385,0.25128,0.95743,0.93656,0.9035,0.95553,0.60368,1.4295,0.6364,2.10226,7.9408e-05,7.9408e-05,7.9408e-05
106,55655.6,0.46528,0.2474,0.95296,0.93495,0.89875,0.95868,0.60825,1.4199,0.62833,2.09019,7.921e-05,7.921e-05,7.921e-05
107,56178.6,0.46735,0.24586,0.95343,0.9293,0.89558,0.95991,0.60584,1.41759,0.63459,2.08174,7.9012e-05,7.9012e-05,7.9012e-05
108,56702.2,0.46377,0.24539,0.95027,0.92113,0.89777,0.95678,0.60363,1.40092,0.62782,2.06296,7.8814e-05,7.8814e-05,7.8814e-05
109,57225.3,0.45958,0.24181,0.94997,0.8951,0.91459,0.95037,0.60118,1.40076,0.63185,2.05965,7.8616e-05,7.8616e-05,7.8616e-05
110,57749,0.46186,0.24346,0.94431,0.9298,0.88135,0.95444,0.60517,1.39901,0.64284,2.05545,7.8418e-05,7.8418e-05,7.8418e-05
111,58272.4,0.46376,0.24288,0.94743,0.91592,0.89152,0.95741,0.60884,1.39924,0.62801,2.06891,7.822e-05,7.822e-05,7.822e-05
112,58796.3,0.46645,0.24505,0.95084,0.9325,0.88796,0.95551,0.60623,1.4032,0.62492,2.0776,7.8022e-05,7.8022e-05,7.8022e-05
113,59319.4,0.45546,0.23875,0.94569,0.93489,0.88017,0.95399,0.60545,1.40328,0.63366,2.0874,7.7824e-05,7.7824e-05,7.7824e-05
114,59842.8,0.44819,0.23726,0.93992,0.93805,0.88762,0.95679,0.61071,1.40155,0.62512,2.08359,7.7626e-05,7.7626e-05,7.7626e-05
115,60366.4,0.45277,0.23987,0.94107,0.93456,0.90625,0.95765,0.61154,1.39704,0.63872,2.07622,7.7428e-05,7.7428e-05,7.7428e-05
116,60890.1,0.4472,0.23798,0.93961,0.93475,0.90346,0.9537,0.60538,1.4022,0.61726,2.0791,7.723e-05,7.723e-05,7.723e-05
117,61413.3,0.44459,0.23395,0.93435,0.93762,0.88578,0.95207,0.60686,1.4094,0.614,2.09415,7.7032e-05,7.7032e-05,7.7032e-05
118,61937.3,0.44774,0.23467,0.93871,0.92062,0.91654,0.95456,0.60266,1.41606,0.625,2.10394,7.6834e-05,7.6834e-05,7.6834e-05
119,62461,0.44275,0.23235,0.93064,0.93878,0.90309,0.95429,0.60395,1.42138,0.62975,2.12225,7.6636e-05,7.6636e-05,7.6636e-05
120,62984.9,0.44898,0.23637,0.94171,0.94131,0.88979,0.95393,0.60218,1.4202,0.64081,2.12275,7.6438e-05,7.6438e-05,7.6438e-05
121,63511.5,0.44282,0.23432,0.93634,0.92529,0.90485,0.95288,0.60471,1.4209,0.64116,2.1195,7.624e-05,7.624e-05,7.624e-05
122,64044,0.44098,0.23001,0.93377,0.94625,0.89082,0.95351,0.60322,1.42045,0.6444,2.12164,7.6042e-05,7.6042e-05,7.6042e-05
123,64572.4,0.43672,0.23228,0.93177,0.93402,0.89727,0.95305,0.6066,1.41193,0.63678,2.12944,7.5844e-05,7.5844e-05,7.5844e-05
124,65096.1,0.43705,0.22978,0.93293,0.92131,0.91216,0.95593,0.60502,1.40934,0.62331,2.12965,7.5646e-05,7.5646e-05,7.5646e-05
125,65619.8,0.42912,0.22639,0.92878,0.92827,0.90858,0.95414,0.60552,1.40668,0.6258,2.13214,7.5448e-05,7.5448e-05,7.5448e-05
126,66143,0.43362,0.2257,0.93021,0.94313,0.88894,0.95507,0.60911,1.40196,0.6235,2.12603,7.525e-05,7.525e-05,7.525e-05
127,66666.5,0.43176,0.22468,0.93024,0.91803,0.91441,0.95924,0.60794,1.39708,0.61891,2.11352,7.5052e-05,7.5052e-05,7.5052e-05
128,67189.8,0.42338,0.22932,0.92124,0.93417,0.90484,0.95829,0.60814,1.40064,0.59932,2.12164,7.4854e-05,7.4854e-05,7.4854e-05
129,67713.5,0.42697,0.22525,0.92849,0.93867,0.90795,0.95827,0.61096,1.40456,0.60319,2.12799,7.4656e-05,7.4656e-05,7.4656e-05
130,68236.9,0.42754,0.22972,0.92828,0.94593,0.90888,0.95876,0.60767,1.40806,0.60789,2.13463,7.4458e-05,7.4458e-05,7.4458e-05
131,68760.3,0.42504,0.22628,0.924,0.94081,0.90254,0.95977,0.61165,1.40567,0.60141,2.12979,7.426e-05,7.426e-05,7.426e-05
132,69284.3,0.43298,0.22874,0.93004,0.94371,0.90128,0.95971,0.61483,1.4027,0.60235,2.12926,7.4062e-05,7.4062e-05,7.4062e-05
133,69810.1,0.4281,0.22616,0.92628,0.93308,0.90214,0.96239,0.61464,1.40022,0.60229,2.13018,7.3864e-05,7.3864e-05,7.3864e-05
134,70335.8,0.42274,0.22326,0.92105,0.92342,0.92733,0.95832,0.6104,1.40295,0.59884,2.13178,7.3666e-05,7.3666e-05,7.3666e-05
135,70859.2,0.41496,0.21807,0.91735,0.9194,0.92685,0.95797,0.60768,1.40553,0.60147,2.13768,7.3468e-05,7.3468e-05,7.3468e-05
136,71383.4,0.41266,0.21863,0.91547,0.9297,0.91558,0.95335,0.60643,1.40405,0.60933,2.13468,7.327e-05,7.327e-05,7.327e-05
137,71906.8,0.41178,0.21986,0.91634,0.93547,0.89966,0.94992,0.60497,1.40845,0.61145,2.14526,7.3072e-05,7.3072e-05,7.3072e-05
138,72430.4,0.41583,0.22355,0.92026,0.92278,0.91056,0.95267,0.61032,1.40799,0.6202,2.14413,7.2874e-05,7.2874e-05,7.2874e-05
139,72953.6,0.40861,0.21687,0.91417,0.93146,0.9009,0.95575,0.60626,1.41128,0.61635,2.14857,7.2676e-05,7.2676e-05,7.2676e-05
140,73477.1,0.40956,0.22313,0.91426,0.92802,0.90308,0.95444,0.6042,1.41185,0.61166,2.15136,7.2478e-05,7.2478e-05,7.2478e-05
141,74000.6,0.40631,0.21909,0.91348,0.91246,0.91672,0.95405,0.60557,1.41101,0.60977,2.15133,7.228e-05,7.228e-05,7.228e-05
142,74524.1,0.40165,0.21565,0.90929,0.91749,0.91323,0.95388,0.60564,1.40562,0.60149,2.14395,7.2082e-05,7.2082e-05,7.2082e-05
143,75047.4,0.40466,0.21546,0.91351,0.94769,0.88888,0.95464,0.60832,1.40375,0.59973,2.13979,7.1884e-05,7.1884e-05,7.1884e-05
144,75570.7,0.40357,0.21719,0.91344,0.92478,0.91506,0.95455,0.60711,1.40338,0.6043,2.13651,7.1686e-05,7.1686e-05,7.1686e-05
145,76094.2,0.40254,0.21521,0.90913,0.92982,0.91535,0.9553,0.60755,1.40136,0.6076,2.13714,7.1488e-05,7.1488e-05,7.1488e-05
