epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,10901.8,0.21459,0.1361,0.6553,0.96667,0.80556,0.89479,0.45359,1.47635,0.58418,3.05918,6.1885e-05,6.1885e-05,6.1885e-05
79,11290.9,0.22167,0.13998,0.68627,0.90323,0.77778,0.87611,0.4408,1.50076,0.67925,3.03558,6.139e-05,6.139e-05,6.139e-05
80,11679.9,0.21638,0.13764,0.65803,0.95951,0.77778,0.87404,0.45145,1.45664,0.7719,2.88589,6.0895e-05,6.0895e-05,6.0895e-05
81,12068.5,0.21468,0.13522,0.66527,0.96086,0.75,0.8719,0.46172,1.45226,0.63767,2.96801,6.04e-05,6.04e-05,6.04e-05
82,12457.6,0.21045,0.13766,0.66021,0.96296,0.72222,0.85197,0.44252,1.46199,0.78996,2.95237,5.9905e-05,5.9905e-05,5.9905e-05
83,12846.5,0.1978,0.12738,0.63727,0.96522,0.77116,0.87643,0.45402,1.47506,0.63747,2.95315,5.941e-05,5.941e-05,5.941e-05
84,13235.9,0.21243,0.13649,0.66248,0.96549,0.77722,0.87954,0.47304,1.47192,0.66392,2.96364,5.8915e-05,5.8915e-05,5.8915e-05
85,13625,0.20964,0.12895,0.66352,0.96283,0.75,0.86425,0.45765,1.47136,0.59138,3.04083,5.842e-05,5.842e-05,5.842e-05
86,14014.7,0.21006,0.13249,0.6659,1,0.74781,0.87036,0.46697,1.46784,0.54444,3.0436,5.7925e-05,5.7925e-05,5.7925e-05
87,14404.1,0.21623,0.14036,0.68062,0.93333,0.77778,0.8764,0.46029,1.47722,0.59665,3.02036,5.743e-05,5.743e-05,5.743e-05
88,14793.2,0.20441,0.12732,0.6509,1,0.72288,0.862,0.44387,1.46864,0.68158,3.0235,5.6935e-05,5.6935e-05,5.6935e-05
89,15181.9,0.19813,0.12954,0.64855,1,0.72222,0.86108,0.45565,1.44806,0.73921,2.952,5.644e-05,5.644e-05,5.644e-05
90,15571.6,0.20635,0.13131,0.67254,0.96429,0.75,0.86964,0.46787,1.46249,0.64224,3.0046,5.5945e-05,5.5945e-05,5.5945e-05
91,15960.8,0.21428,0.13786,0.67434,0.96429,0.75,0.87036,0.45858,1.45748,0.83309,2.96774,5.545e-05,5.545e-05,5.545e-05
92,16349.8,0.21395,0.1344,0.66362,0.99021,0.75,0.87036,0.44767,1.46133,0.59724,3.0137,5.4955e-05,5.4955e-05,5.4955e-05
93,16738.8,0.20078,0.12873,0.65598,1,0.75,0.875,0.46202,1.45721,0.72993,2.97104,5.446e-05,5.446e-05,5.446e-05
94,17128.4,0.20082,0.13063,0.6534,1,0.718,0.86532,0.44214,1.4689,0.75599,3.01965,5.3965e-05,5.3965e-05,5.3965e-05
95,17517.4,0.20235,0.1316,0.65947,1,0.75,0.875,0.43872,1.47679,0.66965,3.04681,5.347e-05,5.347e-05,5.347e-05
96,17906.8,0.19765,0.12701,0.64848,0.98892,0.75,0.86603,0.43915,1.47548,0.68643,3.09766,5.2975e-05,5.2975e-05,5.2975e-05
97,18295.8,0.19215,0.12876,0.66104,1,0.74886,0.86603,0.43831,1.4832,0.64221,3.10152,5.248e-05,5.248e-05,5.248e-05
98,18684.9,0.18695,0.12333,0.64303,1,0.75,0.875,0.44359,1.47776,0.67018,3.08398,5.1985e-05,5.1985e-05,5.1985e-05
99,19073.5,0.19692,0.12588,0.63925,1,0.71962,0.86603,0.44145,1.47004,0.71047,3.09933,5.149e-05,5.149e-05,5.149e-05
100,19462.8,0.1896,0.12382,0.63922,0.96429,0.75,0.87036,0.45684,1.47207,0.70746,3.14096,5.0995e-05,5.0995e-05,5.0995e-05
101,19851.8,0.20272,0.12919,0.65138,0.98774,0.72222,0.86532,0.44552,1.46839,0.71331,3.08345,5.05e-05,5.05e-05,5.05e-05
102,20241.8,0.20966,0.13117,0.67357,1,0.7181,0.85685,0.43742,1.47735,0.62125,3.16648,5.0005e-05,5.0005e-05,5.0005e-05
103,20630.6,0.2049,0.12827,0.66585,1,0.74248,0.86603,0.44564,1.46809,0.62457,3.07283,4.951e-05,4.951e-05,4.951e-05
104,21019.5,0.19746,0.12562,0.65551,1,0.71943,0.86603,0.44118,1.46854,0.72094,3.03963,4.9015e-05,4.9015e-05,4.9015e-05
105,21408.1,0.19902,0.12491,0.65574,0.96429,0.75,0.86964,0.44211,1.47885,0.68721,3.08086,4.852e-05,4.852e-05,4.852e-05
106,21796.8,0.2024,0.12954,0.66428,0.96429,0.75,0.86964,0.44381,1.46879,0.69903,3.04271,4.8025e-05,4.8025e-05,4.8025e-05
107,22185,0.19152,0.12383,0.65531,1,0.72222,0.86108,0.44213,1.46409,0.74088,3.01529,4.753e-05,4.753e-05,4.753e-05
108,22573.7,0.20475,0.12877,0.65731,1,0.72222,0.86108,0.44211,1.46335,0.78195,3.05653,4.7035e-05,4.7035e-05,4.7035e-05
109,22961.7,0.18899,0.12186,0.63334,0.96296,0.72222,0.85604,0.44172,1.45719,0.68299,3.06503,4.654e-05,4.654e-05,4.654e-05
110,23350.8,0.18487,0.12148,0.65262,0.97373,0.72222,0.85136,0.43898,1.44289,0.68593,3.06055,4.6045e-05,4.6045e-05,4.6045e-05
111,23739.5,0.17941,0.11784,0.6436,0.99183,0.72222,0.85604,0.44261,1.43216,0.64771,3.05692,4.555e-05,4.555e-05,4.555e-05
112,24128.5,0.17983,0.12028,0.63088,1,0.71842,0.85604,0.44207,1.42991,0.604,3.03545,4.5055e-05,4.5055e-05,4.5055e-05
113,24517.5,0.19173,0.12416,0.65442,0.99542,0.72222,0.85604,0.45109,1.42797,0.61342,3.06413,4.456e-05,4.456e-05,4.456e-05
114,24907.3,0.1938,0.12622,0.662,0.9953,0.72222,0.85604,0.4367,1.44047,0.56591,3.12669,4.4065e-05,4.4065e-05,4.4065e-05
115,25296.3,0.19025,0.12757,0.65481,1,0.74093,0.87036,0.44906,1.44583,0.64029,3.11455,4.357e-05,4.357e-05,4.357e-05
116,25685.8,0.18417,0.12556,0.65618,0.92857,0.72222,0.85136,0.43318,1.4475,0.72198,3.08507,4.3075e-05,4.3075e-05,4.3075e-05
117,26074.8,0.18469,0.11976,0.64018,0.9555,0.72222,0.85136,0.43001,1.45416,0.72241,3.08786,4.258e-05,4.258e-05,4.258e-05
